Date,Energy_Generated,Efficiency,Energy_Exported,Energy_Used,Peak_Power,Peak_Time,Condition,Min_Temperature,Max_Temperature,Peak_Energy_Import,Off-Peak_Energy_Import,Shoulder_Energy_Import,High-Shoulder_Energy_Import,Insolation
20190818,2598,2.406,2384,0,802,13:35,Partly Cloudy,14,34,NaN,NaN,NaN,NaN,6284
20190819,1334,1.235,1113,0,521,11:15,Cloudy,14,20,NaN,NaN,NaN,NaN,6275
20190820,2380,2.204,2075,0,1042,14:05,Mostly Cloudy,13,24,NaN,NaN,NaN,NaN,6266
20190821,4339,4.018,4214,0,746,12:40,Fine,9,28,NaN,NaN,NaN,NaN,6257
20190822,5138,4.757,4600,0,739,13:55,Fine,9,31,NaN,NaN,NaN,NaN,6247
20190823,4980,4.611,4951,0,720,14:05,Fine,10,35,NaN,NaN,NaN,NaN,6237
20190824,4924,4.559,4411,0,707,13:55,Fine,11,38,NaN,NaN,NaN,NaN,6226
20190825,4950,4.583,4149,0,713,14:05,Fine,17,35,NaN,NaN,NaN,NaN,6215
20190826,2365,2.190,2124,0,797,13:35,Mostly Cloudy,14,34,NaN,NaN,NaN,NaN,6203
20190827,0,0.000,0,0,0,07:55,Not Sure,18,26,NaN,NaN,NaN,NaN,6191
20190828,0,0.000,0,0,0,08:10,Not Sure,17,34,NaN,NaN,NaN,NaN,6178
20190829,0,0.000,0,0,0,07:50,Not Sure,18,34,NaN,NaN,NaN,NaN,6165
20190830,0,0.000,0,0,0,07:40,Not Sure,15,36,NaN,NaN,NaN,NaN,6152
20190831,2791,2.584,2741,0,728,14:20,Partly Cloudy,17,33,NaN,NaN,NaN,NaN,6138
20190901,925,0.856,510,0,231,15:50,Cloudy,16,22,NaN,NaN,NaN,NaN,6123
20190902,2877,2.664,2470,0,826,15:35,Partly Cloudy,13,25,NaN,NaN,NaN,NaN,6108
20190903,4807,4.451,4613,0,750,14:15,Fine,7,29,NaN,NaN,NaN,NaN,6092
20190904,4812,4.456,3777,0,727,13:45,Fine,8,31,NaN,NaN,NaN,NaN,6076
20190905,3501,3.242,3202,0,953,14:00,Partly Cloudy,12,24,NaN,NaN,NaN,NaN,6059
20190906,3752,3.474,3347,0,949,14:15,Fine,7,27,NaN,NaN,NaN,NaN,6042
20190907,4629,4.286,4048,0,720,14:00,Fine,6,28,NaN,NaN,NaN,NaN,6024
20190908,4427,4.099,3973,0,809,12:05,Fine,11,27,NaN,NaN,NaN,NaN,6005
20190909,3799,3.518,3582,0,738,13:15,Fine,6,27,NaN,NaN,NaN,NaN,5986
20190910,2841,2.631,2717,0,808,13:20,Partly Cloudy,10,12,NaN,NaN,NaN,NaN,5967
20190911,4011,3.714,3543,0,845,14:45,Fine,12,12,NaN,NaN,NaN,NaN,5947
20190912,754,0.698,479,0,585,11:40,Mostly Cloudy,12,12,NaN,NaN,NaN,NaN,5926
20190913,2997,2.775,2740,0,649,12:15,Partly Cloudy,12,12,NaN,NaN,NaN,NaN,5905
